company,Year,Есть ли RAEX/RSPP/NKR рейтинг у компании?,Источник
газпром нефть,22,FALSE,Новости
газпром нефть,23,FALSE,Новости
газпром нефть,24,FALSE,Новости
газпром переработка благовещенск,20,TRUE,Новости
газпром переработка благовещенск,21,TRUE,Новости
газпром переработка благовещенск,22,TRUE,Новости
газпром переработка благовещенск,23,TRUE,Новости
газпром переработка благовещенск,24,TRUE,Новости
газпром сеть азс,20,TRUE,Новости
газпром сеть азс,21,TRUE,Новости
газпром сеть азс,22,TRUE,Новости
газпром сеть азс,23,TRUE,Новости
газпром сеть азс,24,TRUE,Новости
газпром трансгаз санкт-петербург,20,TRUE,Новости
газпром трансгаз санкт-петербург,21,TRUE,Новости
газпром трансгаз санкт-петербург,22,TRUE,Новости
газпром трансгаз санкт-петербург,23,TRUE,Новости
газпром трансгаз санкт-петербург,24,TRUE,Новости
газпром трансгаз чайковский,20,TRUE,Новости
газпром трансгаз чайковский,21,TRUE,Новости
газпром трансгаз чайковский,22,TRUE,Новости
газпром трансгаз чайковский,23,TRUE,Новости
газпром трансгаз чайковский,24,TRUE,Новости
газпром энергохолдинг,20,TRUE,Новости
газпромнефть-оренбург,20,TRUE,Новости
газпромнефть-оренбург,21,TRUE,Новости
газпромнефть-оренбург,22,TRUE,Новости
газпромнефть-оренбург,23,TRUE,Новости
газпромнефть-оренбург,24,TRUE,Новости
гарант-м,22,TRUE,Новости
гарант-м,23,TRUE,Новости
гарант-м,24,TRUE,Новости
геоскан,20,TRUE,Новости
геоскан,21,TRUE,Новости
геоскан,22,TRUE,Новости
геоскан,23,TRUE,Новости
геоскан,24,TRUE,Новости
герофарм,20,TRUE,Новости
герофарм,21,TRUE,Новости
герофарм,22,TRUE,Новости
герофарм,23,TRUE,Новости
герофарм,24,TRUE,Новости
гидроприбор,20,TRUE,Новости
гидроприбор,21,TRUE,Новости
гидроприбор,22,TRUE,Новости
гидроприбор,23,TRUE,Новости
гидроприбор,24,TRUE,Новости
главстрой спб,20,TRUE,Новости
главстрой спб,21,TRUE,Новости
главстрой спб,22,TRUE,Новости
главстрой спб,23,TRUE,Новости
главстрой спб,24,TRUE,Новости
гмк норильский никель,20,TRUE,Новости
гмк норильский никель,21,TRUE,Новости
гмк норильский никель,22,TRUE,Новости
гнц нииар,20,TRUE,Новости
гнц нииар,21,TRUE,Новости
госкорпорация росатом,20,TRUE,Новости
госкорпорация росатом,21,TRUE,Новости
гранд-трейд,20,TRUE,Новости
гранд-трейд,21,TRUE,Новости
гранд-трейд,22,TRUE,Новости
гранд-трейд,23,TRUE,Новости
гранд-трейд,24,TRUE,Новости
гранит-электрон,20,TRUE,Новости
гранит-электрон,21,TRUE,Новости
гранит-электрон,22,TRUE,Новости
гранит-электрон,23,TRUE,Новости
гранит-электрон,24,TRUE,Новости
грейн гейтс,20,TRUE,Новости
грейн гейтс,21,TRUE,Новости
грейн гейтс,22,TRUE,Новости
гсп ремонт,20,TRUE,Новости
гсп ремонт,21,TRUE,Новости
гсп ремонт,22,TRUE,Новости
гсп ремонт,24,TRUE,Новости
делимобиль,20,TRUE,Новости
делимобиль,21,TRUE,Новости
делимобиль,22,TRUE,Новости
делимобиль,23,TRUE,Новости
делимобиль,24,TRUE,Новости
дело,22,TRUE,Новости
детский мир,22,TRUE,Новости
детский мир,16,TRUE,Новости
детский мир,17,TRUE,Новости
детский мир,18,TRUE,Новости
детский мир,19,TRUE,Новости
детский мир,20,FALSE,Новости
детский мир,21,FALSE,Новости
детский мир,23,FALSE,Новости
детский мир,24,FALSE,Новости
дом,22,TRUE,Новости
дом.рф,20,TRUE,Новости
дом.рф,21,FALSE,Новости
дом.рф,22,TRUE,Новости
дом.рф,23,FALSE,Новости
дом.рф,24,TRUE,Новости
евраз,16,TRUE,Новости
евраз,17,TRUE,Новости
еврострой,20,TRUE,Новости
еврострой,21,TRUE,Новости
еврострой,22,TRUE,Новости
еврострой,23,TRUE,Новости
еврострой,24,TRUE,Новости
завод измерон,20,TRUE,Новости
завод измерон,21,TRUE,Новости
завод измерон,22,TRUE,Новости
завод измерон,23,TRUE,Новости
завод измерон,24,TRUE,Новости
зарубежнефть,16,TRUE,Новости
зарубежнефть,17,TRUE,Новости
зсд,20,TRUE,Новости
зсд,21,TRUE,Новости
зсд,22,TRUE,Новости
зсд,23,TRUE,Новости
зсд,24,TRUE,Новости
игора,20,TRUE,Новости
игора,21,TRUE,Новости
игора,22,TRUE,Новости
игора,23,TRUE,Новости
игора,24,TRUE,Новости
игора драйв,20,TRUE,Новости
игора драйв,21,TRUE,Новости
игора драйв,22,TRUE,Новости
игора драйв,23,TRUE,Новости
игора драйв,24,TRUE,Новости
ик русс-инвест,20,TRUE,Новости
ик русс-инвест,21,TRUE,Новости
илим,19,TRUE,Новости
илим,20,TRUE,Новости
илим,21,TRUE,Новости
илим,22,FALSE,Новости
илим,23,FALSE,Новости
